"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"2009","Other Specialized","Computer Science","Male","109","."
"2009","Other Specialized","Agricultural Sciences","Female","22","."
"2009","Other Specialized","Agricultural Sciences","Male","48","."
"2009","Other Specialized","Biological Sciences","Female","38","."
"2009","Other Specialized","Biological Sciences","Male","47","."
"2009","Other Specialized","Other Life Sciences","Female","51","."
"2009","Other Specialized","Other Life Sciences","Male","3","."
"2009","Other Specialized","Psychology","Female","534","2"
"2009","Other Specialized","Psychology","Male","143","."
"2009","Other Specialized","Economics","Female","21","1"
"2009","Other Specialized","Economics","Male","241","4"
"2009","Other Specialized","Political Science and Public Administration","Female","315","."
"2009","Other Specialized","Political Science and Public Administration","Male","382","."
"2009","Other Specialized","Sociology","Female","7","."
"2009","Other Specialized","Sociology","Male","4","."
"2009","Other Specialized","Area and Ethnic Studies","Female","3","."
"2009","Other Specialized","Area and Ethnic Studies","Male","13","."
"2009","Other Specialized","Other Social Sciences","Female","290","."
"2009","Other Specialized","Other Social Sciences","Male","210","3"
"2009","Other Specialized","Engineering Technologies","Female","4","."
"2009","Other Specialized","Engineering Technologies","Male","54","."
"2009","Other Specialized","Other Science and Engineering Technologies","Male","42","."
"2009","Other Specialized","Interdisciplinary or Other Sciences","Female","5","."
"2009","Other Specialized","Interdisciplinary or Other Sciences","Male","33","."
"2009","Other Specialized","History","Female","18","."
"2009","Other Specialized","History","Male","166","."
"2009","Other Specialized","English and Literature","Female","38","."
"2009","Other Specialized","English and Literature","Male","53","."
"2009","Other Specialized","Foreign Languages","Female","23","."
"2009","Other Specialized","Foreign Languages","Male","73","."
"2009","Other Specialized","Religion and Theology","Female","12","."
"2009","Other Specialized","Religion and Theology","Male","13","2"
"2009","Other Specialized","Arts and Music","Female","7","."
"2009","Other Specialized","Arts and Music","Male","4","."
"2009","Other Specialized","Non-Science Education","Female","76","2"
"2009","Other Specialized","Non-Science Education","Male","32","."
"2009","Other Specialized","Business and Management","Female","305","1"
"2009","Other Specialized","Business and Management","Male","549","3"
"2009","Other Specialized","Communication and Librarianship","Female","23","."
"2009","Other Specialized","Communication and Librarianship","Male","4","."
"2009","Other Specialized","Law","Female","99","."
"2009","Other Specialized","Law","Male","69","."
"2009","Other Specialized","Vocational Studies and Home Economics","Female","496","."
"2009","Other Specialized","Vocational Studies and Home Economics","Male","490","."
"2009","Other Specialized","Other Non-sciences or Unknown Disciplines","Female","127","."
"2009","Other Specialized","Other Non-sciences or Unknown Disciplines","Male","308","1"
"2009","Master's/Comprehensive II","Chemical Engineering","Female","16","."
"2009","Master's/Comprehensive II","Chemical Engineering","Male","75","."
"2009","Master's/Comprehensive II","Civil Engineering","Female","9","."
"2009","Master's/Comprehensive II","Civil Engineering","Male","15","."
"2009","Master's/Comprehensive II","Electrical Engineering","Female","3","."
"2009","Master's/Comprehensive II","Electrical Engineering","Male","80","."
"2009","Master's/Comprehensive II","Mechanical Engineering","Female","9","."
"2009","Master's/Comprehensive II","Mechanical Engineering","Male","58","."
"2009","Master's/Comprehensive II","Materials Engineering","Male","4","."
"2009","Master's/Comprehensive II","Industrial Engineering","Female","4","."
"2009","Master's/Comprehensive II","Industrial Engineering","Male","6","."
"2009","Master's/Comprehensive II","Other Engineering","Female","34","."
"2009","Master's/Comprehensive II","Other Engineering","Male","194","2"
"2009","Master's/Comprehensive II","Chemistry","Female","161","24"
"2009","Master's/Comprehensive II","Chemistry","Male","158","27"
"2009","Master's/Comprehensive II","Physics","Female","19","2"
"2009","Master's/Comprehensive II","Physics","Male","63","11"
"2009","Master's/Comprehensive II","Other Physical Sciences","Female","24","1"
"2009","Master's/Comprehensive II","Other Physical Sciences","Male","15","."
"2009","Master's/Comprehensive II","Earth Sciences","Female","8","1"
"2009","Master's/Comprehensive II","Earth Sciences","Male","25","."
"2009","Master's/Comprehensive II","Mathematics and Statistics","Female","212","14"
"2009","Master's/Comprehensive II","Mathematics and Statistics","Male","208","32"
"2009","Master's/Comprehensive II","Computer Science","Female","215","9"
"2009","Master's/Comprehensive II","Computer Science","Male","928","18"
"2009","Master's/Comprehensive II","Agricultural Sciences","Female","85","22"
"2009","Master's/Comprehensive II","Agricultural Sciences","Male","96","12"
"2009","Master's/Comprehensive II","Biological Sciences","Female","1,562","38"
"2009","Master's/Comprehensive II","Biological Sciences","Male","835","18"
"2009","Master's/Comprehensive II","Medical Sciences","Female","36","."
"2009","Master's/Comprehensive II","Medical Sciences","Male","24","."
"2009","Master's/Comprehensive II","Other Life Sciences","Female","4,211","34"
"2009","Master's/Comprehensive II","Other Life Sciences","Male","689","2"
"2009","Master's/Comprehensive II","Psychology","Female","2,467","209"
"2009","Master's/Comprehensive II","Psychology","Male","627","58"
"2009","Master's/Comprehensive II","Economics","Female","120","27"
"2009","Master's/Comprehensive II","Economics","Male","168","47"
"2009","Master's/Comprehensive II","Political Science and Public Administration","Female","790","82"
"2009","Master's/Comprehensive II","Political Science and Public Administration","Male","486","41"
"2009","Master's/Comprehensive II","Sociology","Female","482","82"
"2009","Master's/Comprehensive II","Sociology","Male","186","20"
"2009","Master's/Comprehensive II","Anthropology","Female","49","10"
"2009","Master's/Comprehensive II","Anthropology","Male","23","3"
"2009","Master's/Comprehensive II","Area and Ethnic Studies","Female","33","10"
"2009","Master's/Comprehensive II","Area and Ethnic Studies","Male","15","7"
"2009","Master's/Comprehensive II","Other Social Sciences","Female","375","28"
"2009","Master's/Comprehensive II","Other Social Sciences","Male","288","9"
"2009","Master's/Comprehensive II","Science Technologies","Female","7","."
"2009","Master's/Comprehensive II","Science Technologies","Male","4","."
"2009","Master's/Comprehensive II","Engineering Technologies","Female","80","."
"2009","Master's/Comprehensive II","Engineering Technologies","Male","594","."
"2009","Master's/Comprehensive II","Health Technologies","Female","531","2"
"2009","Master's/Comprehensive II","Health Technologies","Male","191","2"
"2009","Master's/Comprehensive II","Interdisciplinary or Other Sciences","Female","31","6"
"2009","Master's/Comprehensive II","Interdisciplinary or Other Sciences","Male","16","1"
"2009","Master's/Comprehensive II","History","Female","440","35"
"2009","Master's/Comprehensive II","History","Male","504","34"
"2009","Master's/Comprehensive II","English and Literature","Female","853","50"
"2009","Master's/Comprehensive II","English and Literature","Male","291","23"
"2009","Master's/Comprehensive II","Foreign Languages","Female","294","144"
"2009","Master's/Comprehensive II","Foreign Languages","Male","89","43"
"2009","Master's/Comprehensive II","Other Humanities","Female","71","17"
"2009","Master's/Comprehensive II","Other Humanities","Male","103","27"
"2009","Master's/Comprehensive II","Religion and Theology","Female","162","19"
"2009","Master's/Comprehensive II","Religion and Theology","Male","212","17"
"2009","Master's/Comprehensive II","Arts and Music","Female","1,288","80"
"2009","Master's/Comprehensive II","Arts and Music","Male","655","41"
"2009","Master's/Comprehensive II","Architecture and Environmental Design","Female","136","5"
"2009","Master's/Comprehensive II","Architecture and Environmental Design","Male","145","."
"2009","Master's/Comprehensive II","Science Education","Female","36","2"
"2009","Master's/Comprehensive II","Science Education","Male","28","2"
"2009","Master's/Comprehensive II","Mathematics Education","Female","51","."
"2009","Master's/Comprehensive II","Mathematics Education","Male","32","."
"2009","Master's/Comprehensive II","Social Science Education","Female","47","."
"2009","Master's/Comprehensive II","Social Science Education","Male","46","."
"2009","Master's/Comprehensive II","Other Science/Technical Education","Female","8","1"
"2009","Master's/Comprehensive II","Other Science/Technical Education","Male","27","."
"2009","Master's/Comprehensive II","Non-Science Education","Female","3,657","200"
"2009","Master's/Comprehensive II","Non-Science Education","Male","1,034","53"
"2009","Master's/Comprehensive II","Business and Management","Female","6,992","245"
"2009","Master's/Comprehensive II","Business and Management","Male","7,160","249"
"2009","Master's/Comprehensive II","Communication and Librarianship","Female","1,731","63"
"2009","Master's/Comprehensive II","Communication and Librarianship","Male","816","22"
"2009","Master's/Comprehensive II","Law","Female","5","."
"2009","Master's/Comprehensive II","Law","Male","6","."
"2009","Master's/Comprehensive II","Social Service Professions","Female","606","7"
"2009","Master's/Comprehensive II","Social Service Professions","Male","73","2"
"2009","Master's/Comprehensive II","Vocational Studies and Home Economics","Female","1,097","29"
"2009","Master's/Comprehensive II","Vocational Studies and Home Economics","Male","960","9"
"2009","Master's/Comprehensive II","Other Non-sciences or Unknown Disciplines","Female","1,460","51"
"2009","Master's/Comprehensive II","Other Non-sciences or Unknown Disciplines","Male","797","25"
"2009","Engineering and Technology","Aerospace Engineering","Female","2","."
"2009","Engineering and Technology","Aerospace Engineering","Male","3","."
"2009","Engineering and Technology","Chemical Engineering","Female","37","."
"2009","Engineering and Technology","Chemical Engineering","Male","73","."
"2009","Engineering and Technology","Civil Engineering","Female","87","."
"2009","Engineering and Technology","Civil Engineering","Male","248","."
"2009","Engineering and Technology","Electrical Engineering","Female","42","1"
"2009","Engineering and Technology","Electrical Engineering","Male","466","6"
"2009","Engineering and Technology","Mechanical Engineering","Female","65","."
"2009","Engineering and Technology","Mechanical Engineering","Male","576","1"
"2009","Engineering and Technology","Materials Engineering","Female","1","."
"2009","Engineering and Technology","Materials Engineering","Male","9","."
"2009","Engineering and Technology","Industrial Engineering","Female","47","."
"2009","Engineering and Technology","Industrial Engineering","Male","57","."
"2009","Engineering and Technology","Other Engineering","Female","62","."
"2009","Engineering and Technology","Other Engineering","Male","155","1"
"2009","Engineering and Technology","Chemistry","Female","22","."
"2009","Engineering and Technology","Chemistry","Male","18","."
"2009","Engineering and Technology","Physics","Female","3","."
"2009","Engineering and Technology","Physics","Male","44","."
"2009","Engineering and Technology","Other Physical Sciences","Male","4","."
"2009","Engineering and Technology","Earth Sciences","Female","8","."
"2009","Engineering and Technology","Earth Sciences","Male","11","."
"2009","Engineering and Technology","Mathematics and Statistics","Female","27","."
"2009","Engineering and Technology","Mathematics and Statistics","Male","57","7"
"2009","Engineering and Technology","Computer Science","Female","134","1"
"2009","Engineering and Technology","Computer Science","Male","782","7"
"2009","Engineering and Technology","Agricultural Sciences","Female","1","."
"2009","Engineering and Technology","Agricultural Sciences","Male","4","."
"2009","Engineering and Technology","Biological Sciences","Female","94","1"
"2009","Engineering and Technology","Biological Sciences","Male","46","5"
"2009","Engineering and Technology","Other Life Sciences","Female","25","."
"2009","Engineering and Technology","Other Life Sciences","Male","5","."
"2009","Engineering and Technology","Psychology","Female","25","."
"2009","Engineering and Technology","Psychology","Male","17","1"
"2009","Engineering and Technology","Economics","Female",".","1"
"2009","Engineering and Technology","Economics","Male","3","9"
"2009","Engineering and Technology","Political Science and Public Administration","Female","3","."
"2009","Engineering and Technology","Political Science and Public Administration","Male","7","1"
"2009","Engineering and Technology","Engineering Technologies","Female","77","."
"2009","Engineering and Technology","Engineering Technologies","Male","859","."
"2009","Engineering and Technology","Health Technologies","Female","175","."
"2009","Engineering and Technology","Health Technologies","Male","49","."
"2009","Engineering and Technology","Interdisciplinary or Other Sciences","Male","6","."
"2009","Engineering and Technology","History","Male",".","1"
"2009","Engineering and Technology","Other Humanities","Male",".","1"
"2009","Engineering and Technology","Arts and Music","Female","86","1"
"2009","Engineering and Technology","Arts and Music","Male","95","."
"2009","Engineering and Technology","Architecture and Environmental Design","Female","98","."
"2009","Engineering and Technology","Architecture and Environmental Design","Male","172","."
"2009","Engineering and Technology","Business and Management","Female","1,132","3"
"2009","Engineering and Technology","Business and Management","Male","1,511","7"
"2009","Engineering and Technology","Communication and Librarianship","Female","49","1"
"2009","Engineering and Technology","Communication and Librarianship","Male","46","."
"2009","Engineering and Technology","Law","Male",".","2"
"2009","Engineering and Technology","Vocational Studies and Home Economics","Female","87","."
"2009","Engineering and Technology","Vocational Studies and Home Economics","Male","101","."
"2009","Engineering and Technology","Other Non-sciences or Unknown Disciplines","Female","41","."
"2009","Engineering and Technology","Other Non-sciences or Unknown Disciplines","Male","137","."
"2009","Medical","Biological Sciences","Female","33","."
"2009","Medical","Biological Sciences","Male","8","."
"2009","Medical","Medical Sciences","Female","5","."
"2009","Medical","Medical Sciences","Male","1","."
"2009","Medical","Other Life Sciences","Female","3,122","."
"2009","Medical","Other Life Sciences","Male","479","."
"2009","Medical","Health Technologies","Female","954","."
"2009","Medical","Health Technologies","Male","261","."
"2009","Health Professions","Chemistry","Female","7","."
"2009","Health Professions","Chemistry","Male","8","."
"2009","Health Professions","Computer Science","Female","1","."
"2009","Health Professions","Computer Science","Male","2","."
"2009","Health Professions","Biological Sciences","Female","330","."
"2009","Health Professions","Biological Sciences","Male","426","."
"2009","Health Professions","Medical Sciences","Female","66","."
"2009","Health Professions","Medical Sciences","Male","46","."
"2009","Health Professions","Other Life Sciences","Female","2,109","."
"2009","Health Professions","Other Life Sciences","Male","245","."
"2009","Health Professions","Psychology","Female","20","."
"2009","Health Professions","Psychology","Male","5","."
"2009","Health Professions","Health Technologies","Female","150","19"
"2009","Health Professions","Health Technologies","Male","45","3"
"2009","Health Professions","Interdisciplinary or Other Sciences","Female","34","."
"2009","Health Professions","Interdisciplinary or Other Sciences","Male","57","."
"2009","Health Professions","Business and Management","Female","21","."
"2009","Health Professions","Business and Management","Male","17","."
"2009","Health Professions","Other Non-sciences or Unknown Disciplines","Female","1","."
"2009","Health Professions","Other Non-sciences or Unknown Disciplines","Male","2","."
"2009","Baccalaureate/Liberal Arts II","Chemical Engineering","Female","13","."
"2009","Baccalaureate/Liberal Arts II","Chemical Engineering","Male","29","."
"2009","Baccalaureate/Liberal Arts II","Civil Engineering","Female","40","."
"2009","Baccalaureate/Liberal Arts II","Civil Engineering","Male","130","."
"2009","Baccalaureate/Liberal Arts II","Electrical Engineering","Female","18","."
"2009","Baccalaureate/Liberal Arts II","Electrical Engineering","Male","269","."
"2009","Baccalaureate/Liberal Arts II","Mechanical Engineering","Female","28","."
"2009","Baccalaureate/Liberal Arts II","Mechanical Engineering","Male","243","1"
"2009","Baccalaureate/Liberal Arts II","Materials Engineering","Female","1","."
"2009","Baccalaureate/Liberal Arts II","Materials Engineering","Male","6","."
"2009","Baccalaureate/Liberal Arts II","Industrial Engineering","Female","6","."
"2009","Baccalaureate/Liberal Arts II","Industrial Engineering","Male","27","."
"2009","Baccalaureate/Liberal Arts II","Other Engineering","Female","21","1"
"2009","Baccalaureate/Liberal Arts II","Other Engineering","Male","143","."
"2009","Baccalaureate/Liberal Arts II","Astronomy","Female","3","."
"2009","Baccalaureate/Liberal Arts II","Astronomy","Male","10","."
"2009","Baccalaureate/Liberal Arts II","Chemistry","Female","501","55"
"2009","Baccalaureate/Liberal Arts II","Chemistry","Male","395","44"
"2009","Baccalaureate/Liberal Arts II","Physics","Female","31","5"
"2009","Baccalaureate/Liberal Arts II","Physics","Male","145","23"
"2009","Baccalaureate/Liberal Arts II","Other Physical Sciences","Female","70","."
"2009","Baccalaureate/Liberal Arts II","Other Physical Sciences","Male","103","3"
"2009","Baccalaureate/Liberal Arts II","Atmospheric Sciences","Female","9","."
"2009","Baccalaureate/Liberal Arts II","Atmospheric Sciences","Male","18","."
"2009","Baccalaureate/Liberal Arts II","Earth Sciences","Female","32","."
"2009","Baccalaureate/Liberal Arts II","Earth Sciences","Male","72","1"
"2009","Baccalaureate/Liberal Arts II","Oceanography","Female","2","."
"2009","Baccalaureate/Liberal Arts II","Oceanography","Male","5","."
"2009","Baccalaureate/Liberal Arts II","Mathematics and Statistics","Female","620","48"
"2009","Baccalaureate/Liberal Arts II","Mathematics and Statistics","Male","634","81"
"2009","Baccalaureate/Liberal Arts II","Computer Science","Female","731","21"
"2009","Baccalaureate/Liberal Arts II","Computer Science","Male","2,492","68"
"2009","Baccalaureate/Liberal Arts II","Agricultural Sciences","Female","509","18"
"2009","Baccalaureate/Liberal Arts II","Agricultural Sciences","Male","438","13"
"2009","Baccalaureate/Liberal Arts II","Biological Sciences","Female","4,148","113"
"2009","Baccalaureate/Liberal Arts II","Biological Sciences","Male","2,134","51"
"2009","Baccalaureate/Liberal Arts II","Medical Sciences","Female","287","3"
"2009","Baccalaureate/Liberal Arts II","Medical Sciences","Male","107","1"
"2009","Baccalaureate/Liberal Arts II","Other Life Sciences","Female","10,822","66"
"2009","Baccalaureate/Liberal Arts II","Other Life Sciences","Male","1,747","22"
"2009","Baccalaureate/Liberal Arts II","Psychology","Female","8,025","328"
"2009","Baccalaureate/Liberal Arts II","Psychology","Male","1,811","81"
"2009","Baccalaureate/Liberal Arts II","Economics","Female","111","42"
"2009","Baccalaureate/Liberal Arts II","Economics","Male","203","73"
"2009","Baccalaureate/Liberal Arts II","Political Science and Public Administration","Female","1,774","114"
"2009","Baccalaureate/Liberal Arts II","Political Science and Public Administration","Male","1,275","91"
"2009","Baccalaureate/Liberal Arts II","Sociology","Female","1,759","179"
"2009","Baccalaureate/Liberal Arts II","Sociology","Male","603","58"
"2009","Baccalaureate/Liberal Arts II","Anthropology","Female","114","1"
"2009","Baccalaureate/Liberal Arts II","Anthropology","Male","44","."
"2009","Baccalaureate/Liberal Arts II","Linguistics","Female","8","."
"2009","Baccalaureate/Liberal Arts II","Linguistics","Male","6","."
"2009","Baccalaureate/Liberal Arts II","Area and Ethnic Studies","Female","140","16"
"2009","Baccalaureate/Liberal Arts II","Area and Ethnic Studies","Male","99","5"
"2009","Baccalaureate/Liberal Arts II","Other Social Sciences","Female","2,313","69"
"2009","Baccalaureate/Liberal Arts II","Other Social Sciences","Male","1,096","37"
"2009","Baccalaureate/Liberal Arts II","Science Technologies","Female","11","."
"2009","Baccalaureate/Liberal Arts II","Science Technologies","Male","9","."
"2009","Baccalaureate/Liberal Arts II","Engineering Technologies","Female","260","1"
"2009","Baccalaureate/Liberal Arts II","Engineering Technologies","Male","1,316","3"
"2009","Baccalaureate/Liberal Arts II","Health Technologies","Female","854","23"
"2009","Baccalaureate/Liberal Arts II","Health Technologies","Male","248","6"
"2009","Baccalaureate/Liberal Arts II","Interdisciplinary or Other Sciences","Female","251","19"
"2009","Baccalaureate/Liberal Arts II","Interdisciplinary or Other Sciences","Male","258","9"
"2009","Baccalaureate/Liberal Arts II","History","Female","1,256","114"
"2009","Baccalaureate/Liberal Arts II","History","Male","1,693","145"
"2009","Baccalaureate/Liberal Arts II","English and Literature","Female","2,741","121"
"2009","Baccalaureate/Liberal Arts II","English and Literature","Male","1,022","48"
"2009","Baccalaureate/Liberal Arts II","Foreign Languages","Female","585","263"
"2009","Baccalaureate/Liberal Arts II","Foreign Languages","Male","173","84"
"2009","Baccalaureate/Liberal Arts II","Other Humanities","Female","140","52"
"2009","Baccalaureate/Liberal Arts II","Other Humanities","Male","324","77"
"2009","Baccalaureate/Liberal Arts II","Religion and Theology","Female","957","315"
"2009","Baccalaureate/Liberal Arts II","Religion and Theology","Male","1,550","250"
"2009","Baccalaureate/Liberal Arts II","Arts and Music","Female","4,325","184"
"2009","Baccalaureate/Liberal Arts II","Arts and Music","Male","2,759","80"
"2009","Baccalaureate/Liberal Arts II","Architecture and Environmental Design","Female","109","."
"2009","Baccalaureate/Liberal Arts II","Architecture and Environmental Design","Male","151","."
"2009","Baccalaureate/Liberal Arts II","Science Education","Female","68","2"
"2009","Baccalaureate/Liberal Arts II","Science Education","Male","39","3"
"2009","Baccalaureate/Liberal Arts II","Mathematics Education","Female","195","3"
"2009","Baccalaureate/Liberal Arts II","Mathematics Education","Male","131","3"
"2009","Baccalaureate/Liberal Arts II","Social Science Education","Female","91","3"
"2009","Baccalaureate/Liberal Arts II","Social Science Education","Male","123","3"
"2009","Baccalaureate/Liberal Arts II","Other Science/Technical Education","Female","73","11"
"2009","Baccalaureate/Liberal Arts II","Other Science/Technical Education","Male","41","9"
"2009","Baccalaureate/Liberal Arts II","Non-Science Education","Female","13,802","577"
"2009","Baccalaureate/Liberal Arts II","Non-Science Education","Male","4,555","181"
"2009","Baccalaureate/Liberal Arts II","Business and Management","Female","23,405","1,090"
"2009","Baccalaureate/Liberal Arts II","Business and Management","Male","19,977","832"
"2009","Baccalaureate/Liberal Arts II","Communication and Librarianship","Female","3,608","148"
"2009","Baccalaureate/Liberal Arts II","Communication and Librarianship","Male","2,127","58"
"2009","Baccalaureate/Liberal Arts II","Law","Female","66","4"
"2009","Baccalaureate/Liberal Arts II","Law","Male","49","."
"2009","Baccalaureate/Liberal Arts II","Social Service Professions","Female","2,477","44"
"2009","Baccalaureate/Liberal Arts II","Social Service Professions","Male","402","11"
"2009","Baccalaureate/Liberal Arts II","Vocational Studies and Home Economics","Female","3,624","96"
"2009","Baccalaureate/Liberal Arts II","Vocational Studies and Home Economics","Male","3,029","44"
"2009","Baccalaureate/Liberal Arts II","Other Non-sciences or Unknown Disciplines","Female","7,194","100"
"2009","Baccalaureate/Liberal Arts II","Other Non-sciences or Unknown Disciplines","Male","5,325","45"
"2009","Tribal","Computer Science","Female","4","."
"2009","Tribal","Computer Science","Male","4","."
"2009","Tribal","Agricultural Sciences","Female","3","."
"2009","Tribal","Agricultural Sciences","Male","10","."
"2009","Tribal","Other Life Sciences","Female","7","."
"2009","Tribal","Political Science and Public Administration","Female","8","."
"2009","Tribal","Political Science and Public Administration","Male","1","."
"2009","Tribal","Area and Ethnic Studies","Female","16","."
"2009","Tribal","Area and Ethnic Studies","Male","13","."
"2009","Tribal","Other Social Sciences","Female","2","."
"2009","Tribal","Other Social Sciences","Male","2","."
"2009","Tribal","Health Technologies","Female","9","."
"2009","Tribal","Health Technologies","Male","1","."
"2009","Tribal","Arts and Music","Female","5","."
"2009","Tribal","Arts and Music","Male","4","."
"2009","Tribal","Science Education","Female","1","."
"2009","Tribal","Science Education","Male","1","."
"2009","Tribal","Non-Science Education","Female","29","."
"2009","Tribal","Non-Science Education","Male","8","."
"2009","Tribal","Business and Management","Female","33","."
"2009","Tribal","Business and Management","Male","18","."
"2009","Tribal","Communication and Librarianship","Female","2","."
"2009","Tribal","Communication and Librarianship","Male","3","."
"2009","Tribal","Social Service Professions","Female","3","."
"2009","Tribal","Social Service Professions","Male","2","."
"2009","Tribal","Vocational Studies and Home Economics","Female","7","."
"2009","Tribal","Other Non-sciences or Unknown Disciplines","Female","6","."
"2009","Tribal","Other Non-sciences or Unknown Disciplines","Male","5","."
"2009","Baccalaureate/Liberal Arts I","Chemical Engineering","Female","18","."
"2009","Baccalaureate/Liberal Arts I","Chemical Engineering","Male","24","."
"2009","Baccalaureate/Liberal Arts I","Civil Engineering","Female","12","."
"2009","Baccalaureate/Liberal Arts I","Civil Engineering","Male","75","."
"2009","Baccalaureate/Liberal Arts I","Electrical Engineering","Female","9","."
"2009","Baccalaureate/Liberal Arts I","Electrical Engineering","Male","63","."
"2009","Baccalaureate/Liberal Arts I","Mechanical Engineering","Female","18","."
"2009","Baccalaureate/Liberal Arts I","Mechanical Engineering","Male","120","."
"2009","Baccalaureate/Liberal Arts I","Industrial Engineering","Female","1","."
"2009","Baccalaureate/Liberal Arts I","Other Engineering","Female","62","1"
"2009","Baccalaureate/Liberal Arts I","Other Engineering","Male","119","6"
"2009","Baccalaureate/Liberal Arts I","Astronomy","Female","21","4"
"2009","Baccalaureate/Liberal Arts I","Astronomy","Male","12","3"
"2009","Baccalaureate/Liberal Arts I","Chemistry","Female","667","50"
"2009","Baccalaureate/Liberal Arts I","Chemistry","Male","624","44"
"2009","Baccalaureate/Liberal Arts I","Physics","Female","199","28"
"2009","Baccalaureate/Liberal Arts I","Physics","Male","505","83"
"2009","Baccalaureate/Liberal Arts I","Other Physical Sciences","Female","10","."
"2009","Baccalaureate/Liberal Arts I","Other Physical Sciences","Male","12","1"
"2009","Baccalaureate/Liberal Arts I","Atmospheric Sciences","Female","7","."
"2009","Baccalaureate/Liberal Arts I","Atmospheric Sciences","Male","7","."
"2009","Baccalaureate/Liberal Arts I","Earth Sciences","Female","155","16"
"2009","Baccalaureate/Liberal Arts I","Earth Sciences","Male","141","13"
"2009","Baccalaureate/Liberal Arts I","Mathematics and Statistics","Female","609","166"
"2009","Baccalaureate/Liberal Arts I","Mathematics and Statistics","Male","673","260"
"2009","Baccalaureate/Liberal Arts I","Computer Science","Female","127","16"
"2009","Baccalaureate/Liberal Arts I","Computer Science","Male","610","67"
"2009","Baccalaureate/Liberal Arts I","Agricultural Sciences","Female","532","89"
"2009","Baccalaureate/Liberal Arts I","Agricultural Sciences","Male","311","57"
"2009","Baccalaureate/Liberal Arts I","Biological Sciences","Female","3,966","168"
"2009","Baccalaureate/Liberal Arts I","Biological Sciences","Male","2,148","107"
"2009","Baccalaureate/Liberal Arts I","Medical Sciences","Female","50","18"
"2009","Baccalaureate/Liberal Arts I","Medical Sciences","Male","29","13"
"2009","Baccalaureate/Liberal Arts I","Other Life Sciences","Female","740","15"
"2009","Baccalaureate/Liberal Arts I","Other Life Sciences","Male","215","4"
"2009","Baccalaureate/Liberal Arts I","Psychology","Female","4,043","450"
"2009","Baccalaureate/Liberal Arts I","Psychology","Male","1,238","142"
"2009","Baccalaureate/Liberal Arts I","Economics","Female","1,323","233"
"2009","Baccalaureate/Liberal Arts I","Economics","Male","2,566","331"
"2009","Baccalaureate/Liberal Arts I","Political Science and Public Administration","Female","2,288","455"
"2009","Baccalaureate/Liberal Arts I","Political Science and Public Administration","Male","2,168","386"
"2009","Baccalaureate/Liberal Arts I","Sociology","Female","1,256","225"
"2009","Baccalaureate/Liberal Arts I","Sociology","Male","506","65"
"2009","Baccalaureate/Liberal Arts I","Anthropology","Female","600","74"
"2009","Baccalaureate/Liberal Arts I","Anthropology","Male","162","11"
"2009","Baccalaureate/Liberal Arts I","Linguistics","Female","35","4"
"2009","Baccalaureate/Liberal Arts I","Linguistics","Male","23","4"
"2009","Baccalaureate/Liberal Arts I","Area and Ethnic Studies","Female","881","218"
"2009","Baccalaureate/Liberal Arts I","Area and Ethnic Studies","Male","379","100"
"2009","Baccalaureate/Liberal Arts I","Other Social Sciences","Female","779","93"
"2009","Baccalaureate/Liberal Arts I","Other Social Sciences","Male","432","49"
"2009","Baccalaureate/Liberal Arts I","Engineering Technologies","Female","3","."
"2009","Baccalaureate/Liberal Arts I","Engineering Technologies","Male","1","."
"2009","Baccalaureate/Liberal Arts I","Health Technologies","Female","23","6"
"2009","Baccalaureate/Liberal Arts I","Health Technologies","Male","3","3"
"2009","Baccalaureate/Liberal Arts I","Interdisciplinary or Other Sciences","Female","377","117"
"2009","Baccalaureate/Liberal Arts I","Interdisciplinary or Other Sciences","Male","112","14"
"2009","Baccalaureate/Liberal Arts I","History","Female","1,413","260"
"2009","Baccalaureate/Liberal Arts I","History","Male","1,748","213"
"2009","Baccalaureate/Liberal Arts I","English and Literature","Female","3,110","369"
"2009","Baccalaureate/Liberal Arts I","English and Literature","Male","1,333","166"
"2009","Baccalaureate/Liberal Arts I","Foreign Languages","Female","1,602","1,060"
"2009","Baccalaureate/Liberal Arts I","Foreign Languages","Male","606","364"
"2009","Baccalaureate/Liberal Arts I","Other Humanities","Female","320","95"
"2009","Baccalaureate/Liberal Arts I","Other Humanities","Male","637","144"
"2009","Baccalaureate/Liberal Arts I","Religion and Theology","Female","540","173"
"2009","Baccalaureate/Liberal Arts I","Religion and Theology","Male","391","134"
"2009","Baccalaureate/Liberal Arts I","Arts and Music","Female","3,243","514"
"2009","Baccalaureate/Liberal Arts I","Arts and Music","Male","1,469","210"
"2009","Baccalaureate/Liberal Arts I","Architecture and Environmental Design","Female","70","2"
"2009","Baccalaureate/Liberal Arts I","Architecture and Environmental Design","Male","24","3"
"2009","Baccalaureate/Liberal Arts I","Science Education","Female","18","."
"2009","Baccalaureate/Liberal Arts I","Science Education","Male","8","1"
"2009","Baccalaureate/Liberal Arts I","Mathematics Education","Female","31","2"
"2009","Baccalaureate/Liberal Arts I","Mathematics Education","Male","14","."
